Number of enhancers	end	Nearest TAD distance	Number of TADs	start	length	Nearest enhancer distance
4396	75871426	10144	262	31269856	44601570	3826
736	39513878	6122	42	31269856	8244022	678
0	38292460	8687	1	47368687	9076227	1187
0	38292459	8688	1	47368688	9076229	1188
0	8030133	5064	1	45965064	37934931	1564
0	8030126	5069	1	45965069	37934943	1569
0	171547652	67652	0	41272212	130275440	1448
0	162631075	31075	0	41272213	121358862	2825
0	21845448	5448	1	60895263	39049815	648
0	21845456	5456	1	60895267	39049811	656
0	18456504	15016	0	6384984	12071520	1684
0	18456503	15020	0	6384980	12071523	1680
7663	102794873	5127	401	28823741	73971132	159
1766	28823742	16258	106	11940759	16882983	158
1968	114735958	93124	201	80706876	34029082	1258
1968	114735959	93126	201	80706874	34029085	1259
0	44759735	265	0	176906708	132146973	808
0	44759733	267	0	176906713	132146980	813
51	87441218	3937	8	86636063	805155	418
0	138665751	153416	0	27926584	110739167	3848
0	138665757	153404	0	27926596	110739161	3842
490	154066467	2633	80	141922633	12143834	3833
671	28964012	47577	38	22632423	6331589	6388
0	14468907	23864	0	231543864	217074957	564
0	14228722	24292	0	231544292	217315570	722
0	63915823	4177	0	51145342	12770481	6723
9	32861768	18232	23	29247464	3614304	1968
0	110368673	8673	0	90466028	19902645	1672
0	110368663	8663	0	90719199	19649464	13601
645	80165566	259196	60	70100804	10064762	834
215	50834062	157280	12	49242720	1591342	1162
0	45671558	88442	0	149034431	103362873	358
0	45671560	88440	0	149034432	103362872	360
412	122333156	158173	35	116841827	5491329	1473
5390	166069041	10959	339	116841827	49227214	1473
4978	166069041	10959	304	122333156	43735885	2244
0	101973607	186393	0	49277729	52695878	18929
629	109214029	169898	39	101969898	7244131	1272
9	123295172	15172	4	122982217	312955	5728
2	123461047	16856	3	123376856	84191	7553
0	46619320	219320	0	140661623	94042303	2820
0	46619326	219326	0	140661654	94042328	2826
0	62133175	146825	0	71072118	8938943	9882
0	62133183	146817	0	71072125	8938942	9875
963	9592748	152748	31	2187182	7405566	352
416	179499907	31710	46	173991710	5508197	4490
751	74987633	12367	39	70451274	4536359	1027
11367	166876479	26	708	41119974	125756505	1074
11367	166876483	29	708	41119971	125756512	1071
806	74151289	8711	29	65346546	8804743	11
41	93026965	13035	6	92616397	410568	2803
282	29949731	10269	13	27095138	2854593	1169
3317	127266258	5820	153	100194180	27072078	41
3316	127266339	4634	153	100195366	27070973	1145
0	23711192	77326	0	35077326	11366134	874
0	23711182	77343	0	35077343	11366161	857
0	22009995	9995	2	23337423	1327428	777
0	22004187	4187	2	23342967	1338780	933
0	32310434	12757	0	171827243	139516809	443
0	32310711	12757	0	171827243	139516532	443
136	145288006	111994	12	120533302	24754704	13106
136	145288014	111986	12	120532898	24755116	13114
8452	157577842	5967	517	69685967	87891875	1133
8452	157577842	5977	517	69685977	87891865	1123
1983	117134725	106200	460	44893800	72240925	4300
1982	117140815	98639	460	44901361	72239454	3261
0	102933427	186573	0	200268602	97335175	798
0	107030770	49230	0	200306110	93275340	1870
0	106681471	198529	0	200277100	93595629	671
61	225784907	24907	5	225394942	389965	1442
0	25415771	15771	0	41418249	16002478	571
0	119486172	175962	0	149015962	29529790	962
0	119485964	176758	0	149016758	29530794	1758
0	61628671	5868	1	70405868	8777197	229
0	61628669	5867	1	70405867	8777198	231
0	11420640	380640	0	147428507	136007867	7
0	11420650	380650	0	147428516	136007866	16
0	46988908	11092	0	53889327	6900419	327
0	46988911	11089	0	53889325	6900414	325
0	6109876	29876	1	149604971	143495095	929
0	6109881	29881	1	149604981	143495100	919
0	25219251	66180	1	120586180	95366929	680
0	25219251	66182	1	120586182	95366931	682
0	100883141	18972	1	88058972	12824169	3028
0	100883143	18972	1	88058972	12824171	3028
1264	10362350	197650	50	0	10362350	950
0	18161153	1153	1	46010192	27849039	847
0	10362350	37650	0	46010194	35647844	950
74	80345233	21159	8	78901159	1444074	4433
303	86681515	41515	29	82288681	4392834	5985
0	13955818	119028	0	82319028	68363210	15082
0	13955816	119026	0	82319026	68363210	15084
0	21899864	3749	1	156276251	134376387	4651
0	21899864	3753	1	156276247	134376383	4647
0	52909158	130842	0	118271920	65362762	1642
0	52909152	130848	0	118271923	65362771	1648
0	28579817	19817	0	79720394	51140577	894
0	28579922	4484	1	76524484	47944562	3984
0	76605926	225534	0	23214466	53391460	2166
0	76609386	223614	0	23216386	53393000	1314
1872	84393785	6215	186	61789104	22604681	1015
1872	84393785	6215	186	61789104	22604681	1015
0	65010604	210604	0	2182453	62828151	247
0	65014386	214386	0	2182460	62831926	240
0	125469053	10947	0	2011765	123457288	2865
0	125469215	10785	0	2011765	123457450	2865
0	51518575	105144	0	7654856	43863719	575
0	51518584	105140	0	7654860	43863724	584
1329	69443921	68143	98	47131857	22312064	2679
1333	69405740	114260	98	47072804	22332936	1160
9	57248506	498926	0	57178926	69580	1294
0	24685062	346735	0	6266735	18418327	2665
0	24649288	346813	0	6266813	18382475	2587
0	24649492	529492	0	7852468	16797024	468
0	24684975	532618	0	7852618	16832357	618
0	162651347	11525	1	13131525	149519822	3125
0	162659654	14650	1	13134650	149525004	1354
0	38776963	16963	0	39140556	363593	1707
0	38776964	16964	0	39140557	363593	1706
0	149120056	10054	1	91389946	57730110	46
0	149120762	10160	1	91389840	57730922	60
0	65690061	29939	0	114447919	48757858	1181
0	65690062	29938	0	114447922	48757860	1178
0	14939421	19421	0	114129563	99190142	1721
0	137784871	15129	1	176621271	38836400	6329
0	137784681	15319	1	176621676	38836995	6519
20	167393746	7297	8	167032703	361043	18597
